date,open,high,low,close,volume,category,company_name
15-04-2020,77.19,78.48,76.48,77.64,1904185,Fast Food,Taco Bell
14-04-2020,78.3,80.41,77.39,79.89,2502828,Fast Food,Taco Bell
13-04-2020,79.78,80.13,75.17,77.06,2010480,Fast Food,Taco Bell
09-04-2020,77.59,82.1,77,80.37,4199379,Fast Food,Taco Bell
08-04-2020,72.22,75.66,70.86,75.37,3681323,Fast Food,Taco Bell
07-04-2020,73.99,75.5,70,71.35,3908511,Fast Food,Taco Bell
06-04-2020,66.55,71.18,66.47,70.5,3683727,Fast Food,Taco Bell
03-04-2020,65.71,66.09,62.16,63.3,2631379,Fast Food,Taco Bell
02-04-2020,67.31,68.94,64.545,66.05,3399575,Fast Food,Taco Bell
01-04-2020,65,68.18,64.25,67.65,3315357,Fast Food,Taco Bell
